Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,26.86,26.85,27.34,27.73,27.94,28.52,27.9,0.03457575757575758,0.8349999999999999,0.13042424242424244
2017-06-15,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,26.86,26.85,27.34,27.73,27.94,28.52,0.0,1.0,0.0
2017-06-16,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,26.86,26.85,27.34,27.73,27.94,,,
2017-06-19,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,26.86,26.85,27.34,27.73,0.0,0.873,0.127
2017-06-20,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,26.86,26.85,27.34,,,
2017-06-21,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,26.86,26.85,,,
2017-06-22,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,26.86,,,
2017-06-23,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,27.11,,,
2017-06-26,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,27.26,0.0,1.0,0.0
2017-06-27,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,26.74,,,
2017-06-28,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,26.87,,,
2017-06-29,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,27.33,0.0,1.0,0.0
2017-06-30,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,27.03,0.0,0.872,0.128
2017-07-03,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,27.03,0.0,1.0,0.0
2017-07-04,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,27.05,,,
2017-07-05,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,27.12,0.106,0.894,0.0
2017-07-06,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,27.82,0.0,1.0,0.0
2017-07-07,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,27.93,0.0,1.0,0.0
2017-07-10,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,27.74,,,
2017-07-11,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,27.53,,,
2017-07-12,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,27.58,,,
2017-07-13,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,27.4,,,
2017-07-14,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,28.16,,,
2017-07-17,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,28.74,0.227,0.606,0.167
2017-07-18,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,28.06,,,
2017-07-19,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,27.61,0.0,1.0,0.0
2017-07-20,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,27.74,,,
2017-07-21,27.84,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,27.45,,,
2017-07-24,27.68,27.84,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,27.8,0.059,0.7484999999999999,0.1925
2017-07-25,27.93,27.68,27.84,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,27.18,,,
2017-07-26,28.18,27.93,27.68,27.84,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,27.25,0.0,0.571,0.429
2017-07-27,29.63,28.18,27.93,27.68,27.84,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,26.97,0.0,0.775,0.225
2017-07-28,29.37,29.63,28.18,27.93,27.68,27.84,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,27.19,0.0,1.0,0.0
2017-07-31,29.1,29.37,29.63,28.18,27.93,27.68,27.84,27.79,27.64,27.37,27.38,27.74,27.57,28.65,28.1,28.28,27.9,27.95,28.36,28.52,28.52,28.34,28.19,28.11,27.61,28.04,0.0,1.0,0.0
