Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,155.7,153.2,159.41,160.02,160.81,158.54,160.28,0.09142424242424242,0.8263333333333333,0.08224242424242424
2017-06-15,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,155.7,153.2,159.41,160.02,160.81,158.54,,,
2017-06-16,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,155.7,153.2,159.41,160.02,160.81,0.0,1.0,0.0
2017-06-19,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,155.7,153.2,159.41,160.02,0.163,0.837,0.0
2017-06-20,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,155.7,153.2,159.41,0.0,1.0,0.0
2017-06-21,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,155.7,153.2,,,
2017-06-22,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,155.7,0.157,0.843,0.0
2017-06-23,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,157.02,0.0,1.0,0.0
2017-06-26,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,157.16,0.0,1.0,0.0
2017-06-27,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,157.95,0.266,0.734,0.0
2017-06-28,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,157.75,,,
2017-06-29,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,163.05,0.11,0.6583333333333333,0.23166666666666666
2017-06-30,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,162.43,0.32799999999999996,0.672,0.0
2017-07-03,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,162.43,,,
2017-07-04,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,163.22,,,
2017-07-05,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,163.07,0.3285,0.6715,0.0
2017-07-06,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,162.99,0.0,1.0,0.0
2017-07-07,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,165.18,0.1055,0.8945000000000001,0.0
2017-07-10,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,165.06,,,
2017-07-11,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,165.17,,,
2017-07-12,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,165.61,0.0,1.0,0.0
2017-07-13,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,165.88,0.0428,0.8333999999999999,0.1238
2017-07-14,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,158.03,0.22125,0.77875,0.0
2017-07-17,161.7,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,151.44,0.0,0.789,0.211
2017-07-18,183.6,161.7,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,152.72,,,
2017-07-19,183.86,183.6,161.7,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,152.2,,,
2017-07-20,183.6,183.86,183.6,161.7,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,151.76,,,
2017-07-21,188.54,183.6,183.86,183.6,161.7,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,152.38,0.0,1.0,0.0
2017-07-24,187.91,188.54,183.6,183.86,183.6,161.7,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,153.4,,,
2017-07-25,186.97,187.91,188.54,183.6,183.86,183.6,161.7,161.12,158.21,158.75,154.33,152.67,150.18,146.25,147.61,146.17,146.17,149.41,150.09,153.41,151.03,157.5,158.02,154.89,155.03,152.05,0.239,0.761,0.0
